Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,price_sqm
236,749950,"3 Tudor Hall, Pottery Road, Glenageary, Dun Laoghaire, Co. Dublin",4,3,158.0,4747.0
237,250000,"18 St. Josephs Place, Phibsborough, D07P62H, Dublin 7",1,1,40.0,6250.0
238,560000,"6 Beresford Crescent, Donabate, Co. Dublin",4,3,137.0,4088.0
239,525000,"17 Lomond Avenue, Fairview, Fairview, Dublin 3",3,1,104.0,5048.0
240,725000,"Hill Grove, 189 Swords Road, Swords, Co. Dublin",4,3,175.0,4143.0
241,470000,"14 Castle Oaks, Dublin Road, Malahide, Co. Dublin",2,2,70.0,6714.0
242,675000,"86 Ardmore Park, Kill Avenue, Dun Laoghaire, Co. Dublin",3,1,85.0,7941.0
243,320000,"73 Cill Cais, Old Bawn Road, Tallaght, Dublin 24",3,1,90.0,3556.0
244,295000,"73A Cill Cais, Old Bawn Road, Tallaght, Dublin 24",2,1,70.0,4214.0
245,325000,"21 Hazelwood Crescent, Clondalkin, Dublin 22",4,1,100.0,3250.0
246,295000,"Apt 25, Woodbrook Hall, Porterstown, D15N262, Blanchardstown, Dublin 15",2,2,80.0,3688.0
247,325000,"10 Mount Eustace Rise, Tyrrelstown, D15F3C6, Dublin 15",3,3,95.0,3421.0
248,560000,"24 Grange Terrace, Deansgrange Road, Deans Grange, Co. Dublin",2,1,82.0,6829.0
249,365000,"67 Oldtown Avenue, Santry, Santry, Dublin 9",4,1,95.0,3842.0
250,575000,"88 Rosemount Estate, Dundrum, Dundrum, Dublin 14",3,1,92.0,6250.0
251,325000,"Apartment 4, 382 North Circular Road, Dublin 7",1,2,87.0,3736.0
252,475000,"50 Cadogan Road, Fairview, Dublin 3",3,1,90.0,5278.0
253,570000,"San Martin, 14 Brookwood Glen, Artane, Dublin 5",5,1,122.0,4672.0
254,525000,"15 Lissadel Crescent, Malahide, Co. Dublin",3,3,100.0,5250.0
255,320000,"105 Walkinstown Drive, Walkinstown, Dublin 12",2,1,72.0,4444.0
256,440000,"3 Beverton Avenue, Donabate, Co. Dublin",3,3,112.0,3929.0
257,259000,"48 Cherry Orchard Avenue, Cherry Orchard, Dublin 10",3,1,85.0,3047.0
258,475000,"20b Park Road, Glenageary Heights, Glenageary, Co. Dublin",3,1,82.0,5793.0
259,825000,"1 Kingsland Park Church, Portobello, Dublin 8",2,3,94.0,8777.0
260,350000,"19 Fancourt Road, Balbriggan, Co. Dublin",4,2,104.0,3365.0
261,475000,"1 Sally Grove, Ballycullen, Dublin 24",3,3,97.0,4897.0
262,335000,"1 Riverside Apartments, Milltown Road, Milltown, Dublin 6",1,1,43.0,7791.0
263,450000,"Apartment 6, 7 Fitzwilliam Place, Dublin 2",1,1,73.0,6164.0
264,585000,"26 Milltown Hall, Mount St Annes, Milltown, Dublin 6",2,2,82.0,7134.0
265,1550000,"2 Alexandra Villas Rockfort Avenue Dalkey, Dalkey, Co. Dublin",4,2,214.0,7243.0
266,295000,"Apartment 41, Compass Court North, Ashtown, Dublin 15",2,2,80.0,3688.0
267,315000,"Apartment 34, The Richmond, Smithfield, Dublin 1",2,1,55.0,5727.0
268,445000,"17 Violet Hill Park, Glasnevin, Glasnevin, Dublin 11",3,1,90.0,4944.0
269,450000,"94 Foxwood, Swords, Co. Dublin",3,2,125.0,3600.0
270,295000,"356 Ballyfermot Road, Ballyfermot, Dublin 10",3,1,101.0,2921.0
271,1800000,"250 Merrion Road, Dublin 4",4,3,240.0,7500.0
272,375000,"Apartment 111, Rockview, Blackglen Road, Sandyford, Dublin 18",3,2,105.0,3571.0
273,1800000,"252 Merrion Road, Dublin 4",4,3,240.0,7500.0
274,775000,"139 Drumnigh Wood, Portmarnock, Co. Dublin",4,4,220.0,3523.0
275,395000,"Apartment 57, Chapelgate, Saint Alphonsus' Road Upper, Drumcondra, Dublin 9",2,2,85.0,4647.0
276,390000,"130 Springdale Road, Raheny, Dublin 5",3,1,96.0,4062.0
277,575000,"Apartment 15, Blind Quay Apartments, Dublin 8",3,1,111.0,5180.0
278,450000,"26 Shanglas Road, Santry, Santry, Dublin 9",3,1,120.0,3750.0
279,275000,"19 Carlton Court, St. Lawrence Road, Clontarf, Dublin 3",1,1,37.0,7432.0
280,525000,"34 Grange Manor Close, Rathfarnham, Dublin 16",3,3,122.0,4303.0
281,555000,"33 Parkside Walk, Balgriffin, Dublin 13",3,4,141.0,3936.0
282,400000,"1 Kinsealy Cottages, Malahide, Co. Dublin",3,1,73.0,5479.0
283,1095000,"Foxrock Park (Tara), Kill Lane, Foxrock, Dublin 18",5,3,277.0,3953.0
