,price,address,bedrooms,bathrooms,floor_area
161,"AMV: €350,000 ","Apartment 26, Fortwilliam, Blackrock, Co. Dublin",2 Bed,1 Bath,82 m²
162,"€695,000 ","5 Shenick Drive, Skerries, Co. Dublin",4 Bed,2 Bath,129 m²
163,"€450,000 ","34 River Valley Grove, Swords, Co. Dublin",3 Bed,3 Bath,122 m²
164,"€695,000 ","5 Shenick Drive, Skerries, Co. Dublin",4 Bed,2 Bath,129 m²
165,"€350,000 ","Apt 26 Fortwilliam, Mount Merrion Ave, Blackrock, Co. Dublin",2 Bed,1 Bath,82 m²
166,"€375,000 ","89 St Peters Road, Walkinstown, Dublin 12",3 Bed,1 Bath,102 m²
167,"€260,000 ","38 Rosedale Crescent, Clonee, Dublin 15",2 Bed,1 Bath,74 m²
168,"€345,000 ","11 Stralem Grove, Ongar, Dublin 15",4 Bed,3 Bath,125 m²
169,"€460,000 ","58 Castleknock Elms, Laurel Lodge, Castleknock, Dublin 15",3 Bed,1 Bath,93 m²
170,"€365,000 ","16 Aspen Park, Aspen Park, Kinsealy Court, Swords, Co. Dublin",3 Bed,1 Bath,84 m²
171,"€255,000 ","24 Green Briar, Verdemont, Blanchardstown, Dublin 15",2 Bed,2 Bath,63 m²
172,"€299,000 ","127 Lymewood Mews, Northwood, Santry, Dublin 9",2 Bed,2 Bath,70 m²
173,"€375,000 ","13 Dun Emer Road, Lusk, Co. Dublin",4 Bed,3 Bath,136 m²
174,"€220,000 ","72 Seagrave Drive, Finglas, D11AK07, Dublin 11",2 Bed,2 Bath,54 m²
175,"€225,000 ","Apt 7, Mayeston Court, Finglas, D11YY60, Dublin 11",2 Bed,2 Bath,71 m²
176,"€269,000 ","159 Cruise Park Drive, Tyrrelstown, D15HY64, Dublin 15",3 Bed,3 Bath,105 m²
177,"€275,000 ","20 Castle Elms, Coolock, D17FT80, Dublin 17",3 Bed,2 Bath,75 m²
178,"€299,000 ","96 North Road, Finglas, D11H5R2, Dublin 11",2 Bed,1 Bath,50 m²
179,"€345,000 ","447 Mourne Road, Drimnagh, Dublin 12",2 Bed,1 Bath,71 m²
180,"€369,000 ","50 Monastery Gate Close, Clondalkin, D22 PX70, Dublin 22",4 Bed,3 Bath,102 m²
181,"€300,000 ","60 Clonshaugh Avenue, Clonshaugh, D17 Y443, Dublin 17",3 Bed,1 Bath,90 m²
182,"€375,000 ","Apartment 207, Longboat Quay South Apartments, Grand Canal Dock, Dublin 2",1 Bed,1 Bath,50 m²
183,"€325,000 ","110 Greencastle Road, Coolock, Dublin 17",3 Bed,1 Bath,101 m²
184,"€325,000 ","40 Clanranald Road, Donnycarney, Dublin 5",2 Bed,1 Bath,60 m²
185,"€525,000 ","134 Brian Road, Marino, Dublin 3",3 Bed,1 Bath,111 m²
186,"€340,000 ","92 Clonliffe Avenue, Ballybough, Dublin 3",2 Bed,1 Bath,66 m²
187,"€875,000 ","40 Corr Castle, Howth Road, Howth, D13PY28, Dublin 13",4 Bed,2 Bath,175 m²
188,"€695,000 ","53 Cedarmount Road, Mount Merrion, Co. Dublin",3 Bed,1 Bath,116 m²
189,"€750,000 ","9 Orwell Park Dale, Templeogue, Templeogue, Dublin 6W",5 Bed,4 Bath,215 m²
190,"€340,000 ","Apartment 38, Block F, Milner's Square, Shanowen Road, Santry, Dublin 9",2 Bed,2 Bath,83 m²
191,"€425,000 ","Coill Ghiéºise, 17 Brookwood Heights, Artane, Dublin 5",3 Bed,1 Bath,126 m²
192,"€255,000 ","Apartment 24, Green Briar, Dublin 15",2 Bed,2 Bath,63 m²
193,"€325,000 ","36 St Johns Close, Clondalkin, Dublin 22",2 Bed,2 Bath,70 m²
194,"€425,000 ","164 Beauvale Park, Artane, Dublin 5",3 Bed,2 Bath,93 m²
195,"€325,000 ","74 West Courtyard, Tullyvale, Cabinteely, Dublin 18",2 Bed,2 Bath,70 m²
196,"€419,000 ","13 Riversdale Park, Palmerstown, Dublin 20",3 Bed,2 Bath,91 m²
197,"€335,000 ","39 Boroimhe Cedars, Swords, Co. Dublin",3 Bed,2 Bath,107 m²
198,"€575,000 ","1 Sefton Green, Rochestown Avenue, Dun Laoghaire, Co. Dublin",3 Bed,2 Bath,95 m²
199,"€340,000 ","18 Boulevard, Bellgree, Tyrrelstown, Dublin 15",4 Bed,3 Bath,140 m²
200,"€440,000 ","84 Grange Park View, Raheny, Dublin 5",3 Bed,1 Bath,106 m²
201,"€675,000 ","65 Cabinteely Green, Cabinteely, Dublin 18",4 Bed,3 Bath,123 m²
202,"€325,000 ","56 Ivy Court, Beaumont, Dublin 9",2 Bed,2 Bath,79 m²
203,"€229,000 ","29 Broadfield Close, Rathcoole, Co. Dublin",2 Bed,1 Bath,78 m²
204,"€199,950 ","Apt 6, Wikeford Hall, Thornleigh Road, Swords, Co. Dublin",2 Bed,2 Bath,61 m²
205,"€545,000 ","3 Haroldville Avenue, Rialto, Dublin 8",3 Bed,2 Bath,132 m²
206,"€495,000 ","1 Fancourt Road, Balbriggan, Co. Dublin",5 Bed,2 Bath,137 m²
207,"€495,000 ","26 Harmony Avenue, Donnybrook, Donnybrook, Dublin 4",2 Bed,1 Bath,64 m²
208,"€595,000 ","Ketu, Breffni Gate, Ketu, Breffni Gate, 25 Church Road, Dalkey, Co. Dublin",2 Bed,2 Bath,103 m²
209,"€845,000 ","153A Ballinclea Heights, Killiney, Co. Dublin",4 Bed,2 Bath,165 m²
210,"€270,000 ","Apartment 9, Scariff House, Waterville Terrace, Blanchardstown, Dublin 15",2 Bed,2 Bath,65 m²
211,"€495,000 ","27 Dodder View Cottages, Ballsbridge, Ballsbridge, Dublin 4",2 Bed,2 Bath,62 m²
212,"€310,000 ","44 Tenterfields, Brown Street South, South, Dublin 8",2 Bed,1 Bath,59 m²
213,"€365,000 ","182 Mourne Road, Drimnagh, Dublin 12",3 Bed,2 Bath,79 m²
214,"€575,000 ","3 Arranmore Avenue, Phibsborough, Dublin 7",2 Bed,1 Bath,93 m²
215,"€315,000 ","Apt. 95 Belfield Park Blackrock, Blackrock, Co. Dublin",1 Bed,1 Bath,42 m²
216,"€695,000 ","7 Talbot Road, Malahide, Co. Dublin",4 Bed,4 Bath,144 m²
217,"€340,000 ","110 Comeragh Road, Drimnagh, Dublin 12",3 Bed,2 Bath,81 m²
218,"€199,950 ","Apartment 2, Wikeford Hall, Thornleigh Road, Swords, Co. Dublin",2 Bed,2 Bath,61 m²
219,"€369,000 ","9 Heather Grove, Palmerstown, Dublin 20",3 Bed,1 Bath,83 m²
220,"€200,000 ","30 Hillview, Mount Talbot, Clondalkin, Dublin 22",1 Bed,1 Bath,49 m²
221,"€295,000 ","37 Alderwood Park, Tallaght, Dublin 24",3 Bed,1 Bath,95 m²
222,"€325,000 ","30 Cairnwood Court, Belgard, Tallaght, Dublin 24",3 Bed,1 Bath,80 m²
223,"€475,000 ","39 Rathmill Green, Rathcoole, Co. Dublin",4 Bed,4 Bath,181 m²
